,product_url,product_id,discounted,actualPrice,Frame Finish,Lens Finish,Lens Color,Brand,Frame Color,Frame Material,Frame Shape,Frame Size,Frame Type,Lens Size,Bridge Size,Gender,Type,Virtual TryOn,Frame Width,discountedPrice,Diameter,Base Curve,Water Content,Oxygen Permeability,Lens Material,UV Protection,Contact Lens Replacement,Contact Lens Type,Contact Lens Use,Package Size
Lensme - 2 lenses - Sugar Gray,https://eyewa.com/ae-en/lensme-pack-of-2-sugar-gray.html,12745,no,150,,,,Lensme,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Lensme - 2 lenses - Gray,https://eyewa.com/ae-en/lensme-pack-of-2-gray.html,12745,no,150,,,,Lensme,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Lensme - 2 lenses - Olivine,https://eyewa.com/ae-en/lensme-pack-of-2-olivine.html,12745,no,150,,,,Lensme,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Lensme - 2 lenses - Sky Blue,https://eyewa.com/ae-en/lensme-pack-of-2-sky-blue.html,12745,no,150,,,,Lensme,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Lensme - 2 lenses - Brown,https://eyewa.com/ae-en/lensme-pack-of-2-brown.html,12745,no,150,,,,Lensme,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Bella Elite 2018 Colors - 2 lenses - Crystal N,https://eyewa.com/ae-en/bella-elite-2018-colors-pack-of-2-crystal-n.html,11911,no,159,,,,Bella,,,,,,,,,,,,,14.5 mm,8.6,38%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Diva Color Contact Lenses - 2 lenses - Latte,https://eyewa.com/ae-en/diva-color-contact-lenses-pack-of-2-latte.html,54545,no,140,,,,Diva,,,,,,,,,,,,,14.5 mm,8.6,43%,,,,3 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Diva Color Contact Lenses - 2 lenses - Toffee,https://eyewa.com/ae-en/diva-color-contact-lenses-pack-of-2-toffee.html,54545,no,140,,,,Diva,,,,,,,,,,,,,14.5 mm,8.6,43%,,,,3 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Diva Color Contact Lenses - 2 lenses - Nut,https://eyewa.com/ae-en/diva-color-contact-lenses-pack-of-2-nut.html,54545,no,140,,,,Diva,,,,,,,,,,,,,14.5 mm,8.6,43%,,,,3 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Diva Color Contact Lenses - 2 lenses - Truffle,https://eyewa.com/ae-en/diva-color-contact-lenses-pack-of-2-truffle.html,54545,no,140,,,,Diva,,,,,,,,,,,,,14.5 mm,8.6,43%,,,,3 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Colorvision - 2 lenses - Gray,https://eyewa.com/ae-en/colorvision-2-lenses-gray.html,13033,no,180,,,,Colorvision,,,,,,,,,,,,,14.2 mm,8.6,55%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
La Loggia Soiree - 2 lenses - Antracite,https://eyewa.com/ae-en/la-loggia-soiree-pack-of-2-antracite.html,12429,no,220,,,,La Loggia,,,,,,,,,,,,,14.2 mm,8.6,60%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
La Loggia Soiree - 2 lenses - Ambra,https://eyewa.com/ae-en/la-loggia-soiree-pack-of-2-ambra.html,12429,no,220,,,,La Loggia,,,,,,,,,,,,,14.2 mm,8.6,60%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
FreshLook Colorblends - 2 lenses - Sterling Gray,https://eyewa.com/ae-en/freshlook-colorblends-pack-of-2-sterling-gray.html,11945,yes,140,,,,FreshLook,,,,,,,,,,,,113,14.5 mm,8.6,69%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
FreshLook Colorblends - 2 lenses - Gray,https://eyewa.com/ae-en/freshlook-colorblends-pack-of-2-gray.html,11945,yes,140,,,,FreshLook,,,,,,,,,,,,113,14.5 mm,8.6,69%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
FreshLook Colors - Pack of 2 - Violet,https://eyewa.com/ae-en/freshlook-colors-pack-of-2-violet.html,11944,yes,140,,,,FreshLook,,,,,,,,,,,,113,14.5 mm,8.6,55%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
