,product_url,product_id,discounted,actualPrice,Frame Finish,Lens Finish,Lens Color,Brand,Frame Color,Frame Material,Frame Shape,Frame Size,Frame Type,Lens Size,Bridge Size,Gender,Type,Virtual TryOn,Frame Width,discountedPrice,Diameter,Base Curve,Water Content,Oxygen Permeability,Lens Material,UV Protection,Contact Lens Replacement,Contact Lens Type,Contact Lens Use,Package Size
BlackOut MIDNIGHT,https://eyewa.com/ae-en/blackout-midnight-000215-0707.html,69406,no,199,Glossy,Gradient,Gray,BlackOut,Gray,Metal,Cat Eye,Wide (>139 mm),Full Rim,61 mm,13 mm,Women,Sunglasses,No,,,,,,,,,,,,
BlackOut SERENE,https://eyewa.com/ae-en/blackout-serene-000107-0107.html,59934,no,199,Glossy,Gradient,Gray,BlackOut,Black,Plastic,Round,Wide (>139 mm),Full Rim,60 mm,17 mm,Women,Sunglasses,Yes,140 mm,,,,,,,,,,,
BlackOut MOONLIGHT,https://eyewa.com/ae-en/blackout-moonlight-000214-2706.html,69404,no,199,Glossy,Gradient,Green,BlackOut,Gold,Metal,Square,Wide (>139 mm),Full Rim,60 mm,12 mm,Women,Sunglasses,No,,,,,,,,,,,,
BlackOut COACHELLA,https://eyewa.com/ae-en/blackout-coachella-000206-2707.html,62404,yes,199,Glossy,Gradient,Gray,BlackOut,Gold,Metal,Round,Wide (>139 mm),Rimless,57 mm,21 mm,Women,Sunglasses,No,145 mm,174,,,,,,,,,,
30Sundays SMOOTH SAILING,https://eyewa.com/ae-en/30sundays-smooth-sailing-000210-0707.html,59125,yes,369,Glossy,Gradient,Gray,30Sundays,Silver,Metal,Square,Wide (>139 mm),Full Rim,60 mm,14 mm,Men,Sunglasses,Yes,145.6 mm,332,,,,,,,,,,
ROAV Jett,https://eyewa.com/ae-en/roav-jett-8202-11-14.html,57834,yes,639,Matte,Full,Gray,ROAV,Silver,Metal,Rectangle,Wide (>139 mm),,54 mm,18 mm,"Men, Women",Sunglasses,No,142 mm,383,,,,,,,,,,
MARC JACOBS - MARC 551/G/S,https://eyewa.com/ae-en/marc-jacobs-20387508654ha-tortoise.html,69973,no,559,,,Brown,Marc Jacobs,Tortoise,Acetate,Round,Wide (>139 mm),Full Rim,59 mm,18 mm,Women,Sunglasses,No,,,,,,,,,,,,
30Sundays EN VOGUE,https://eyewa.com/ae-en/30sundays-en-vogue-000108-0907.html,56217,yes,299,Glossy,Gradient,Purple,30Sundays,Pink,Acetate,Cat Eye,Wide (>139 mm),Full Rim,52 mm,17 mm,Women,Sunglasses,Yes,140 mm,269,,,,,,,,,,
30Sundays ALL ABOARD,https://eyewa.com/ae-en/30sundays-all-aboard-000212-2706.html,59173,yes,369,Matte,Full,Green,30Sundays,Gold,Metal,Square,Wide (>139 mm),Full Rim,58 mm,14 mm,Men,Sunglasses,Yes,141.6 mm,332,,,,,,,,,,
30Sundays MAVERICK,https://eyewa.com/ae-en/30sundays-maverick-000203-1206.html,59153,yes,369,Glossy,Full,Green,30Sundays,Silver,Metal + Acetate,Aviator,Wide (>139 mm),Full Rim,58 mm,15 mm,"Men, Women",Sunglasses,Yes,143 mm,332,,,,,,,,,,
30Sundays THAT'S HOT,https://eyewa.com/ae-en/30sundays-thats-hot-000127-1306.html,59103,yes,369,Glossy,Full,Green,30Sundays,Tortoise,Acetate,Cat Eye,Wide (>139 mm),Full Rim,49 mm,21 mm,Women,Sunglasses,Yes,143 mm,332,,,,,,,,,,
30Sundays MAESTRO,https://eyewa.com/ae-en/30sundays-maestro-000221-0207.html,59036,yes,299,Matte,Full,Gray,30Sundays,Blue,Acetate,Square,Normal (132-138 mm),Full Rim,52 mm,19 mm,Men,Sunglasses,Yes,138 mm,269,,,,,,,,,,
BlackOut KALINDA,https://eyewa.com/ae-en/blackout-kalinda-000210-1302.html,68734,yes,199,Glossy,Full,Blue,BlackOut,Tortoise,Plastic,Irregular,Wide (>139 mm),Rimless,54 mm,17 mm,Women,Sunglasses,No,,174,,,,,,,,,,
ROAV Maverick,https://eyewa.com/ae-en/roav-maverick-8207-12-11.html,59862,yes,639,Matte,Full,Green,ROAV,Gray,Metal,Rectangle,Wide (>139 mm),Full Rim,55 mm,16 mm,"Men, Women",Sunglasses,No,140 mm,383,,,,,,,,,,
30Sundays OLYMPIAN,https://eyewa.com/ae-en/30sundays-olympian-000219-1304.html,59031,yes,299,Matte,Full,Brown,30Sundays,Tortoise,Acetate,Round,Normal (132-138 mm),Full Rim,50 mm,19 mm,Men,Sunglasses,Yes,133 mm,269,,,,,,,,,,
30Sundays VOYAGER,https://eyewa.com/ae-en/30sundays-voyager-000216-0107.html,59020,yes,369,Glossy,Full,Gray,30Sundays,Black,Acetate,Square,Normal (132-138 mm),Full Rim,51 mm,20 mm,Men,Sunglasses,Yes,137 mm,332,,,,,,,,,,
MARC JACOBS - MARC 406/G/S,https://eyewa.com/ae-en/marc-jacobs-20258108660ha-tortoise.html,69952,no,719,,,Brown,Marc Jacobs,Tortoise,Metal,Round,Wide (>139 mm),Full Rim,61 mm,15 mm,Women,Sunglasses,No,,,,,,,,,,,,
ROAV Virgil,https://eyewa.com/ae-en/roav-virgil-8003-11-11.html,57837,yes,639,Matte,Full,Green,ROAV,Silver,Metal,Square,Wide (>139 mm),,59 mm,19 mm,"Men, Women",Sunglasses,No,142 mm,383,,,,,,,,,,
30Sundays GLOBE TROTTER,https://eyewa.com/ae-en/30sundays-globe-trotter-000218-1306.html,59028,yes,369,Glossy,Full,Green,30Sundays,Tortoise,Acetate,Round,Wide (>139 mm),Full Rim,51 mm,20 mm,"Men, Women",Sunglasses,Yes,139 mm,332,,,,,,,,,,
ROAV Earhart,https://eyewa.com/ae-en/roav-earhart-1001-14-11.html,54487,yes,639,Matte,Full,,ROAV,Gold,Metal,Aviator,Wide (>139 mm),Full Rim,55 mm,18 mm,"Men, Women",Sunglasses,No,140 mm,383,,,,,,,,,,
Polaroid - Junior PLD 8041/S,https://eyewa.com/ae-en/polaroid-203938rnb47m9-blue.html,70049,no,179,,,Gray,Polaroid,Blue,Carbon,Square,Wide (>139 mm),Full Rim,50 mm,17 mm,Kids,Sunglasses,No,,,,,,,,,,,,
Polaroid - Junior PLD 8019/S,https://eyewa.com/ae-en/polaroid-233713cyq45ai-pink.html,70036,no,269,,,Pink,Polaroid,Pink,Plastic,Round,Wide (>139 mm),Full Rim,49 mm,19 mm,Kids,Sunglasses,No,,,,,,,,,,,,
Mr. Wonderful White Cat Eye - MW29011218,https://eyewa.com/ae-en/mr-wonderful-mw29011218-white.html,69917,no,309,Matte,Full,Brown,Mr. Wonderful,White,Metal,Cat Eye,Wide (>139 mm),Full Rim,54 mm,18 mm,Women,Sunglasses,No,,,,,,,,,,,,
30Sundays ROUND UP,https://eyewa.com/ae-en/30sundays-round-up-000204-0207.html,59156,yes,369,Matte,Gradient,Gray,30Sundays,Blue,Metal + Acetate,Round,Wide (>139 mm),Full Rim,55 mm,22 mm,"Men, Women",Sunglasses,Yes,141.3 mm,332,,,,,,,,,,
30Sundays SHARPSHOOTER,https://eyewa.com/ae-en/30sundays-sharpshooter-000222-0107.html,59038,yes,299,Matte,Full,Gray,30Sundays,Black,Acetate,Aviator,Normal (132-138 mm),Full Rim,54 mm,18 mm,Men,Sunglasses,Yes,138 mm,269,,,,,,,,,,
30Sundays PIONEER,https://eyewa.com/ae-en/30sundays-pioneer-000214-0406.html,59015,yes,369,Matte,Full,Green,30Sundays,Brown,Acetate,Rectangle,Normal (132-138 mm),Full Rim,51 mm,20 mm,Men,Sunglasses,Yes,136 mm,332,,,,,,,,,,
Polaroid - PLD 2105/G/S,https://eyewa.com/ae-en/polaroid-2034326lb62uc-silver.html,68617,no,299,Glossy,Full,Green,Polaroid,Silver,Metal,Aviator,Wide (>139 mm),Full Rim,62 mm,14 mm,Men,Sunglasses,No,,,,,,,,,,,,
Polaroid - PLD 2093/G/S,https://eyewa.com/ae-en/polaroid-202933j5g54m9-gold.html,68604,no,249,Glossy,Full,Gray,Polaroid,Gold,Metal,Round,Wide (>139 mm),Full Rim,54 mm,20 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
BlackOut LIBERTY,https://eyewa.com/ae-en/blackout-liberty-000208-1302.html,63504,yes,199,Glossy,Full,Blue,BlackOut,Tortoise,Plastic,Cat Eye,Wide (>139 mm),Full Rim,54 mm,20 mm,Women,Sunglasses,No,145 mm,174,,,,,,,,,,
MVMT STREET GOGGLE,https://eyewa.com/ae-en/mvmt-street-goggle-stg-001.html,60585,yes,219,Glossy,Full,Black,MVMT,Black,Acetate,Round,Wide (>139 mm),Full Rim,52 mm,20 mm,"Men, Women",Sunglasses,No,140 mm,175,,,,,,,,,,
30Sundays SQUARED AWAY,https://eyewa.com/ae-en/30sundays-squared-away-000205-0404.html,59160,yes,369,Matte,Gradient,Brown,30Sundays,Brown,Metal + Acetate,Square,Wide (>139 mm),Full Rim,55 mm,19 mm,Men,Sunglasses,Yes,141.3 mm,332,,,,,,,,,,
30Sundays THAT'S WOW,https://eyewa.com/ae-en/30sundays-thats-wow-000123-1304.html,59148,yes,369,Glossy,Full,Brown,30Sundays,Tortoise,Acetate,Rectangle,Wide (>139 mm),Full Rim,51 mm,23 mm,Women,Sunglasses,Yes,144.5 mm,332,,,,,,,,,,
30Sundays THAT'S RAD,https://eyewa.com/ae-en/30sundays-thats-rad-000130-2507.html,59112,yes,369,Glossy,Gradient,Gray,30Sundays,Tortoise,Acetate,Square,Wide (>139 mm),Full Rim,53 mm,20 mm,Women,Sunglasses,Yes,145 mm,332,,,,,,,,,,
30Sundays NAVIGATOR,https://eyewa.com/ae-en/30sundays-navigator-000217-0107.html,59023,no,369,Glossy,Full,Gray,30Sundays,Black,Acetate,Square,Wide (>139 mm),Full Rim,54 mm,18 mm,Men,Sunglasses,Yes,145 mm,,,,,,,,,,,
TOMMY HILFIGER Jeans - TJ 0030/S,https://eyewa.com/ae-en/tommy-hilfiger-jeans-203352fll50ku-blue.html,70009,no,509,,,Blue,Tommy Hilfiger Jeans,Blue,Metal,Round,Wide (>139 mm),Full Rim,53 mm,21 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
TOMMY HILFIGER Jeans - TJ 0006/S,https://eyewa.com/ae-en/tommy-hilfiger-jeans-20305380760ir-black.html,70001,no,509,,,Gray,Tommy Hilfiger Jeans,Black,Metal,Cat Eye,Wide (>139 mm),Full Rim,66 mm,13 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
BlackOut OCEANA,https://eyewa.com/ae-en/blackout-oceana-000212-0502.html,68739,yes,199,Glossy,Full,Blue,BlackOut,Gold,Metal,Irregular,Wide (>139 mm),Rimless,61 mm,18 mm,Women,Sunglasses,No,,174,,,,,,,,,,
Polaroid Junior - PLD 8039/S - Age 9-16 Years,https://eyewa.com/ae-en/polaroid-20289980749m9-black.html,68730,no,179,Glossy,Full,Gray,Polaroid,Black,Metal,Round,Normal (132-138 mm),Full Rim,49 mm,17 mm,Kids,Sunglasses,No,,,,,,,,,,,,
BlackOut MABEL,https://eyewa.com/ae-en/blackout-mabel-000207-0804.html,63499,yes,199,Glossy,Full,Brown,BlackOut,Orange,Plastic,Cat Eye,Wide (>139 mm),Full Rim,54 mm,18 mm,Women,Sunglasses,No,145 mm,174,,,,,,,,,,
MVMT CLASSIC ROUND,https://eyewa.com/ae-en/mvmt-classic-round-clr-002.html,63305,yes,219,Glossy,Full,Green,MVMT,Tortoise,Acetate,Round,Normal (132-138 mm),Full Rim,49 mm,21 mm,"Men, Women",Sunglasses,No,139 mm,175,,,,,,,,,,
Artlife BALZAC,https://eyewa.com/ae-en/artlife-balzac-al30059212.html,61754,yes,399,Matte,Full,Gray,Artlife,Black,Metal,Aviator,Normal (132-138 mm),Full Rim,60 mm,14 mm,"Men, Women",Sunglasses,No,132 mm,279,,,,,,,,,,
Artlife JONES,https://eyewa.com/ae-en/artlife-jones-al30040102.html,61706,yes,399,Glossy,Full,Gray,Artlife,Silver,Metal,Cat Eye,Normal (132-138 mm),Full Rim,54 mm,18 mm,Women,Sunglasses,No,136 mm,279,,,,,,,,,,
ROAV Dixon,https://eyewa.com/ae-en/roav-dixon-8006-12-14.html,59858,yes,639,Matte,Full,Gray,ROAV,Gray,Metal,Aviator,Normal (132-138 mm),Full Rim,57 mm,18 mm,"Men, Women",Sunglasses,No,138 mm,383,,,,,,,,,,
30Sundays ACES,https://eyewa.com/ae-en/30sundays-aces-000202-1206.html,59120,yes,369,Glossy,Full,Green,30Sundays,Silver,Metal,Aviator,Normal (132-138 mm),Full Rim,59 mm,16 mm,Men,Sunglasses,Yes,138.7 mm,332,,,,,,,,,,
Superdry SPRINT,https://eyewa.com/ae-en/superdry-sprint-sds-sprint-106-blue.html,70104,no,419,,Mirror,Red,Superdry,Blue,Plastic,Mask,Wide (>139 mm),Full Rim,62 mm,15 mm,Men,Sunglasses,No,,,,,,,,,,,,
Superdry ROCKSTEP,https://eyewa.com/ae-en/superdry-rockstep-sds-rockstep-112-black.html,70100,no,419,Matte,Mirror,Blue,Superdry,Black,Plastic,Square,Wide (>139 mm),Full Rim,54 mm,16 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
CARRERA - 1035/GS,https://eyewa.com/ae-en/carrera-203453j5g5870-gold.html,69935,no,769,,,Brown,Carrera,Gold,Metal,Aviator,Wide (>139 mm),Full Rim,63 mm,17 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
CARRERA - 1007/S,https://eyewa.com/ae-en/carrera-200387807629o-black.html,69932,no,629,,,Gray,Carrera,Black,Plastic,Rectangle,Wide (>139 mm),Full Rim,77 mm,10 mm,Men,Sunglasses,No,,,,,,,,,,,,
Polaroid - PLD 6111/S,https://eyewa.com/ae-en/polaroid-20291780751m9-black.html,68670,no,279,Glossy,Full,Gray,Polaroid,Black,Carbon,Oval,Wide (>139 mm),Full Rim,51 mm,18 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
BlackOut KATE PETITE,https://eyewa.com/ae-en/blackout-kate-petite-000201-1213.html,62031,yes,199,Glossy,Full,Purple,BlackOut,Silver,Metal,Hexagon,Normal (132-138 mm),Rimless,52 mm,19 mm,Women,Sunglasses,No,140 mm,174,,,,,,,,,,
Mr. Wonderful Gold Mask - MW29045101,https://eyewa.com/ae-en/mr-wonderful-gold-mask-mw29045101-mw29045101.html,61608,yes,309,Glossy,Gradient,Gray,Mr. Wonderful,Gold,Metal,Mask,Normal (132-138 mm),Full Rim,140 mm,0 mm,Women,Sunglasses,No,138 mm,216,,,,,,,,,,
ROAV Balto,https://eyewa.com/ae-en/roav-balto-1003-11-14.html,58236,yes,639,Matte,Full,Clear,ROAV,Silver,Metal,Round,Wide (>139 mm),,51 mm,21 mm,"Men, Women",Sunglasses,No,142 mm,383,,,,,,,,,,
BlackOut AMIRA,https://eyewa.com/ae-en/blackout-amira-000211-2702.html,68736,yes,199,Glossy,Full,Blue,BlackOut,Gold,Metal,Mask,Wide (>139 mm),Full Rim,138 mm,0 mm,Women,Sunglasses,No,,174,,,,,,,,,,
Polaroid Junior - PLD 8019/S/SM - Age 3-8 Years,https://eyewa.com/ae-en/polaroid-20118635j42m9-pink.html,68697,no,169,Glossy,Full,Gray,Polaroid,Pink,Metal + Acetate,Round,Normal (132-138 mm),Full Rim,42 mm,17 mm,Kids,Sunglasses,No,,,,,,,,,,,,
Polaroid - PLD 2106/G/S,https://eyewa.com/ae-en/polaroid-203431j5g57uc-gold.html,68620,no,299,Glossy,Full,Green,Polaroid,Gold,Metal,Aviator,Wide (>139 mm),Full Rim,57 mm,18 mm,Men,Sunglasses,No,,,,,,,,,,,,
30Sundays THAT'S FAB,https://eyewa.com/ae-en/30sundays-thats-fab-000131-2507.html,59115,yes,369,Glossy,Gradient,Gray,30Sundays,Tortoise,Acetate,Round,Wide (>139 mm),Full Rim,52 mm,19 mm,Women,Sunglasses,Yes,142 mm,332,,,,,,,,,,
30Sundays NOMAD,https://eyewa.com/ae-en/30sundays-nomad-000215-0107.html,59017,yes,369,Glossy,Full,Gray,30Sundays,Black,Acetate,Oval,Wide (>139 mm),Full Rim,48 mm,21 mm,"Men, Women",Sunglasses,Yes,139 mm,332,,,,,,,,,,
TOMMY HILFIGER - TH 1788/F/S,https://eyewa.com/ae-en/tommy-hilfiger-203398kj16070-black.html,69996,no,669,,,Brown,Tommy Hilfiger,Black,Metal,Aviator,Wide (>139 mm),Full Rim,66 mm,16 mm,Men,Sunglasses,No,,,,,,,,,,,,
TOMMY HILFIGER - TH 1556/S,https://eyewa.com/ae-en/tommy-hilfiger-2008788ru56ku-blue.html,69979,no,509,,,Blue,Tommy Hilfiger,Blue,Plastic,Square,Wide (>139 mm),Full Rim,60 mm,18 mm,Men,Sunglasses,No,,,,,,,,,,,,
MARC JACOBS - MARC 532/S,https://eyewa.com/ae-en/marc-jacobs-203826pef53qt-gold.html,69972,no,879,,,Green,Marc Jacobs,Gold,Metal,Round,Wide (>139 mm),Full Rim,56 mm,18 mm,Men,Sunglasses,No,,,,,,,,,,,,
Polaroid - PLD 2095/S,https://eyewa.com/ae-en/polaroid-20338980753m9-black.html,68605,no,249,Glossy,Full,Gray,Polaroid,Black,Carbon,Square,Wide (>139 mm),Full Rim,53 mm,20 mm,Men,Sunglasses,No,,,,,,,,,,,,
BlackOut XOXO,https://eyewa.com/ae-en/blackout-xoxo-000205-2702.html,62398,yes,199,Glossy,Gradient,Blue,BlackOut,Gold,Metal,Irregular,Wide (>139 mm),Rimless,61 mm,16 mm,Women,Sunglasses,No,145 mm,174,,,,,,,,,,
Mr. Wonderful Gold Round - MW29055101,https://eyewa.com/ae-en/mr-wonderful-gold-round-mw29055101-mw29055101.html,61650,yes,309,Glossy,Gradient,Purple,Mr. Wonderful,Gold,Metal,Round,Normal (132-138 mm),Full Rim,50 mm,21 mm,Women,Sunglasses,No,126 mm,216,,,,,,,,,,
Mr. Wonderful Blue Round - MW29046147,https://eyewa.com/ae-en/mr-wonderful-blue-round-mw29046147-mw29046147.html,61613,yes,309,Glossy,Gradient,Blue,Mr. Wonderful,Blue,Metal,Round,Normal (132-138 mm),Full Rim,54 mm,19 mm,Women,Sunglasses,No,131 mm,216,,,,,,,,,,
30Sundays BREEZE IN,https://eyewa.com/ae-en/30sundays-breeze-in-000132-2504.html,59118,yes,299,Glossy,Full,Brown,30Sundays,Tortoise,Acetate,Round,Normal (132-138 mm),Full Rim,46 mm,23 mm,Women,Sunglasses,Yes,137.5 mm,269,,,,,,,,,,
30Sundays COAST ALONG,https://eyewa.com/ae-en/30sundays-coast-along-000125-2507.html,59098,yes,369,Glossy,Gradient,Blue,30Sundays,Tortoise,Acetate,Square,Normal (132-138 mm),Full Rim,48 mm,22 mm,Women,Sunglasses,Yes,136 mm,332,,,,,,,,,,
Babamio NOLA Kids Ages - 4-8 Years,https://eyewa.com/ae-en/babamio nola kids ages - 4-8 years-000240-0907-pink.html,70208,no,159,,,Gray,Babamio,Pink,Nylon,Round,Normal (132-138 mm),Full Rim,59 mm,20 mm,Kids,Sunglasses,No,118 mm,,,,,,,,,,,
Babamio WILLOW Kids Ages - 4-8 Years,https://eyewa.com/ae-en/babamio willow kids ages - 4-8 years-000239-0207-blue.html,70206,no,159,,,Gray,Babamio,Blue,Nylon,Hexagon,Normal (132-138 mm),Full Rim,50 mm,17 mm,Kids,Sunglasses,No,126 mm,,,,,,,,,,,
Babamio EVIE Kids Ages - 4-8 Years,https://eyewa.com/ae-en/babamio evie kids ages - 4-8 years-000238-0107-black.html,70203,no,159,,,Gray,Babamio,Black,Nylon,Round,Normal (132-138 mm),Full Rim,48 mm,16 mm,Kids,Sunglasses,No,123 mm,,,,,,,,,,,
Babamio JUNIPER Kids Ages - 4-8 Years,https://eyewa.com/ae-en/babamio juniper kids ages - 4-8 years-000237-0107-black.html,70198,no,159,,,Gray,Babamio,Black,Nylon,Round,Normal (132-138 mm),Full Rim,48 mm,15 mm,Kids,Sunglasses,No,123 mm,,,,,,,,,,,
Babamio ALDER Kids Ages - 4-8 Years,https://eyewa.com/ae-en/babamio alder kids ages - 4-8 years-000236-0107-black.html,70197,no,159,,,Gray,Babamio,Black,Nylon,Oval,Normal (132-138 mm),Full Rim,47 mm,15 mm,Kids,Sunglasses,No,123 mm,,,,,,,,,,,
Babamio SYDNEY Kids Ages - 4-8 Years,https://eyewa.com/ae-en/babamio sydney kids ages - 4-8 years-000234-0207-blue.html,70188,no,159,,,Gray,Babamio,Blue,Nylon,Rectangle,Narrow (< 131 mm),Full Rim,44 mm,17 mm,Kids,Sunglasses,No,114 mm,,,,,,,,,,,
Babamio BRYNN Kids Ages - 4-8 Years,https://eyewa.com/ae-en/babamio brynn kids ages - 4-8 years-000233-0107-black.html,70185,no,159,,,Gray,Babamio,Black,Nylon,Round,Narrow (< 131 mm),Full Rim,49 mm,21 mm,Kids,Sunglasses,No,126 mm,,,,,,,,,,,
Babamio ROWAN Kids Ages - 4-8 Years,https://eyewa.com/ae-en/babamio rowan kids ages - 4-8 years-000232-0207-blue.html,70183,no,159,,,Gray,Babamio,Blue,Nylon,Round,Narrow (< 131 mm),Full Rim,42 mm,20 mm,Kids,Sunglasses,No,120 mm,,,,,,,,,,,
Babamio JARED Kids Ages - 4-8 Years,https://eyewa.com/ae-en/babamio jared kids ages - 4-8 years-000231-0907-pink.html,70181,no,159,,,Gray,Babamio,"Blue, Pink",Nylon,Square,Narrow (< 131 mm),Full Rim,53 mm,16 mm,Kids,Sunglasses,No,126 mm,,,,,,,,,,,
Babamio TATUM Kids Ages - 4-8 Years,https://eyewa.com/ae-en/babamio tatum kids ages - 4-8 years-000230-0907-pink.html,70176,no,159,,,Gray,Babamio,Pink,Nylon,Square,Narrow (< 131 mm),Full Rim,53 mm,16 mm,Kids,Sunglasses,No,123 mm,,,,,,,,,,,
Babamio BERKLEY Kids Ages - 4-8 Years,https://eyewa.com/ae-en/babamio berkley kids ages - 4-8 years-000229-0907-pink.html,70174,no,159,,,Gray,Babamio,Pink,Nylon,Round,Narrow (< 131 mm),Full Rim,47 mm,16 mm,Kids,Sunglasses,No,123 mm,,,,,,,,,,,
Polaroid - Junior PLD 8034/S,https://eyewa.com/ae-en/polaroid-202249pjp555x-blue.html,70044,no,199,,,Blue,Polaroid,Blue,Metal,Aviator,Wide (>139 mm),Full Rim,64 mm,9 mm,Kids,Sunglasses,No,,,,,,,,,,,,
Polaroid - Junior PLD 8001/S,https://eyewa.com/ae-en/polaroid-257582t2048y2-blue.html,70024,no,299,,,Gray,Polaroid,Blue,Plastic,Square,Wide (>139 mm),Full Rim,52 mm,19 mm,Kids,Sunglasses,No,,,,,,,,,,,,
TOMMY HILFIGER Jeans - TJ 0043/S,https://eyewa.com/ae-en/tommy-hilfiger-jeans-203966c9a52ku-red.html,70018,no,509,,,Blue,Tommy Hilfiger Jeans,Red,Metal,Round,Wide (>139 mm),Full Rim,52 mm,22 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
TOMMY HILFIGER Jeans - TJ 0040/S,https://eyewa.com/ae-en/tommy-hilfiger-jeans-203839zx951ku-blue.html,70015,no,509,,,Blue,Tommy Hilfiger Jeans,Blue,Plastic,Square,Wide (>139 mm),Full Rim,57 mm,22 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
TOMMY HILFIGER - TH 1764/S,https://eyewa.com/ae-en/tommy-hilfiger-20332751751qt-green.html,69992,no,669,,,Green,Tommy Hilfiger,Green,Acetate,Round,Wide (>139 mm),Full Rim,56 mm,20 mm,Men,Sunglasses,No,,,,,,,,,,,,
MARC JACOBS - MARC 528/S,https://eyewa.com/ae-en/marc-jacobs-20382208658ha-tortoise.html,69970,no,559,,,Brown,Marc Jacobs,Tortoise,Acetate,Cat Eye,Wide (>139 mm),Full Rim,65 mm,17 mm,Women,Sunglasses,No,,,,,,,,,,,,
MARC JACOBS - MARC 522/S,https://eyewa.com/ae-en/marc-jacobs-20383006j62ha-tortoise.html,69964,no,649,,,Brown,Marc Jacobs,Tortoise,Metal,Aviator,Wide (>139 mm),Full Rim,70 mm,11 mm,Women,Sunglasses,No,,,,,,,,,,,,
MARC JACOBS - MARC 456/S,https://eyewa.com/ae-en/marc-jacobs-202860ddb57ha-gold.html,69958,no,789,,,Brown,Marc Jacobs,Gold,Metal,Aviator,Normal (132-138 mm),Full Rim,59 mm,16 mm,Kids,Sunglasses,No,,,,,,,,,,,,
CARRERA - HOT65,https://eyewa.com/ae-en/carrera-20381700364m9-black.html,69945,no,799,,,Gray,Carrera,Black,Acetate,Aviator,Wide (>139 mm),Full Rim,71 mm,11 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
CARRERA - 231/S,https://eyewa.com/ae-en/carrera-202716r6055ha-black.html,69940,no,629,,,Brown,Carrera,Black,Plastic,Square,Wide (>139 mm),Full Rim,62 mm,18 mm,"Men, Women",Sunglasses,No,,,,,,,,,,,,
Mr. Wonderful Black Round - MW29069512,https://eyewa.com/ae-en/mr-wonderful-mw29069512-black.html,69931,no,219,Glossy,Full,Gray,Mr. Wonderful,Black,Plastic,Round,Narrow (< 131 mm),Full Rim,52 mm,18 mm,Women,Sunglasses,No,,,,,,,,,,,,
Mr. Wonderful Tortoise Round - MW29067595,https://eyewa.com/ae-en/mr-wonderful-mw29067595-tortoise.html,69929,no,219,Glossy,Gradient,Brown,Mr. Wonderful,Tortoise,Plastic,Round,Normal (132-138 mm),Full Rim,51 mm,21 mm,Women,Sunglasses,No,,,,,,,,,,,,
Mr. Wonderful Gray Round - MW29067515,https://eyewa.com/ae-en/mr-wonderful-mw29067515-gray.html,69928,no,219,Glossy,Gradient,Gray,Mr. Wonderful,Gray,Plastic,Round,Narrow (< 131 mm),Full Rim,51 mm,21 mm,Women,Sunglasses,No,,,,,,,,,,,,
Mr. Wonderful Blue Round - MW29065545,https://eyewa.com/ae-en/mr-wonderful-mw29065545-blue.html,69927,no,219,Glossy,Gradient,Blue,Mr. Wonderful,Blue,Plastic,Round,Narrow (< 131 mm),Full Rim,54 mm,21 mm,Women,Sunglasses,No,,,,,,,,,,,,
Mr. Wonderful Tortoise Square - MW29063595,https://eyewa.com/ae-en/mr-wonderful-mw29063595-tortoise.html,69924,no,219,Glossy,Full,Gray,Mr. Wonderful,Tortoise,Plastic,Square,Wide (>139 mm),Full Rim,52 mm,20 mm,Women,Sunglasses,No,,,,,,,,,,,,
Mr. Wonderful Gray Square - MW29063516,https://eyewa.com/ae-en/mr-wonderful-mw29063516-gray.html,69921,no,219,Glossy,Gradient,Gray,Mr. Wonderful,Gray,Plastic,Square,Normal (132-138 mm),Full Rim,52 mm,20 mm,Women,Sunglasses,No,,,,,,,,,,,,
Mr. Wonderful Black Cat Eye - MW29022512,https://eyewa.com/ae-en/mr-wonderful-mw29022512-black.html,69919,no,219,Glossy,Full,Blue,Mr. Wonderful,Black,Plastic,Cat Eye,Normal (132-138 mm),Full Rim,50 mm,19 mm,Women,Sunglasses,No,,,,,,,,,,,,
Mr. Wonderful Black Round - MW29010513,https://eyewa.com/ae-en/mr-wonderful-mw29010513-black.html,69916,no,219,Glossy,Full,Purple,Mr. Wonderful,Black,Plastic,Round,Wide (>139 mm),Full Rim,48 mm,22 mm,Women,Sunglasses,No,,,,,,,,,,,,
Mr. Wonderful Black Square - MW29003512,https://eyewa.com/ae-en/mr-wonderful-mw29003512-black.html,69913,no,219,Glossy,Full,Gray,Mr. Wonderful,Black,Plastic,Square,Wide (>139 mm),Full Rim,49 mm,21 mm,Women,Sunglasses,No,,,,,,,,,,,,
